video,role,tp,fp,fn,tn,accuracy,precision,recall,f1_score
SNGS-141,goalkeeper,0,6,37,931,0.9558521560574949,0.0,0.0,0.0
SNGS-141,referee,40,1,1,932,0.997946611909651,0.975609756097561,0.975609756097561,0.975609756097561
SNGS-148,player,812,0,13,118,0.9862142099681867,1.0,0.9842424242424243,0.9920586438607207
SNGS-148,goalkeeper,15,10,0,918,0.9893955461293743,0.6,1.0,0.7499999999999999
SNGS-148,referee,103,0,0,840,1.0,1.0,1.0,1.0
SNGS-122,player,977,7,0,106,0.9935779816513761,0.9928861788617886,1.0,0.9964303926568078
SNGS-122,goalkeeper,23,0,12,1055,0.9889908256880734,1.0,0.6571428571428571,0.7931034482758621
SNGS-122,referee,78,3,0,1009,0.9972477064220183,0.9629629629629629,1.0,0.9811320754716981
SNGS-125,player,734,40,1,83,0.9522144522144522,0.9483204134366925,0.998639455782313,0.972829688535454
SNGS-125,goalkeeper,13,0,43,802,0.9498834498834499,1.0,0.23214285714285715,0.37681159420289856
SNGS-125,referee,65,3,2,788,0.9941724941724942,0.9558823529411765,0.9701492537313433,0.962962962962963
SNGS-149,player,851,13,10,108,0.9765784114052953,0.9849537037037037,0.9883855981416957,0.9866666666666666
SNGS-149,goalkeeper,0,9,13,960,0.9775967413441955,0.0,0.0,0.0
SNGS-149,referee,108,1,0,873,0.9989816700610998,0.9908256880733946,1.0,0.9953917050691244
SNGS-140,player,1129,0,0,127,1.0,1.0,1.0,1.0
SNGS-140,goalkeeper,65,1,0,1190,0.9992038216560509,0.9848484848484849,1.0,0.9923664122137404
SNGS-140,referee,61,0,1,1194,0.9992038216560509,1.0,0.9838709677419355,0.991869918699187
SNGS-147,player,467,3,5,85,0.9857142857142858,0.9936170212765958,0.989406779661017,0.9915074309978769
SNGS-147,goalkeeper,55,4,1,500,0.9910714285714286,0.9322033898305084,0.9821428571428571,0.9565217391304348
SNGS-147,referee,30,0,2,528,0.9964285714285714,1.0,0.9375,0.967741935483871
SNGS-191,player,1069,78,2,16,0.9313304721030042,0.9319965126416739,0.9981325863678805,0.963931469792606
SNGS-191,goalkeeper,1,0,21,1143,0.9819742489270387,1.0,0.045454545454545456,0.08695652173913045
SNGS-191,referee,15,2,57,1091,0.9493562231759657,0.8823529411764706,0.20833333333333334,0.3370786516853933
SNGS-196,player,907,84,8,69,0.9138576779026217,0.9152371342078708,0.9912568306010929,0.9517313746065059
SNGS-196,goalkeeper,27,7,5,1029,0.9887640449438202,0.7941176470588235,0.84375,0.8181818181818182
SNGS-196,referee,38,1,83,946,0.9213483146067416,0.9743589743589743,0.3140495867768595,0.475
SNGS-198,player,1179,116,12,83,0.9079136690647482,0.9104247104247104,0.9899244332493703,0.9485116653258246
SNGS-198,goalkeeper,28,10,42,1310,0.962589928057554,0.7368421052631579,0.4,0.5185185185185185
SNGS-198,referee,39,6,90,1255,0.9309352517985612,0.8666666666666667,0.3023255813953488,0.44827586206896547
SNGS-138,player,1059,0,5,120,0.995777027027027,1.0,0.9953007518796992,0.9976448422044277
SNGS-138,goalkeeper,0,2,0,1182,0.9983108108108109,0.0,0.0,0.0
SNGS-138,referee,119,2,1,1062,0.9974662162162162,0.9834710743801653,0.9916666666666667,0.9875518672199171
SNGS-136,player,725,45,4,67,0.9417360285374554,0.9415584415584416,0.9945130315500685,0.9673115410273515
SNGS-136,goalkeeper,0,3,45,793,0.9429250891795482,0.0,0.0,0.0
SNGS-136,referee,66,2,1,772,0.9964328180737217,0.9705882352941176,0.9850746268656716,0.9777777777777777
SNGS-131,player,1159,2,0,170,0.9984973703981969,0.9982773471145564,1.0,0.9991379310344827
SNGS-131,goalkeeper,65,0,2,1264,0.9984973703981969,1.0,0.9701492537313433,0.9848484848484849
SNGS-131,referee,105,0,0,1226,1.0,1.0,1.0,1.0
SNGS-199,player,1188,55,13,70,0.9487179487179487,0.9557522123893806,0.9891756869275604,0.972176759410802
SNGS-199,goalkeeper,53,8,3,1262,0.9917043740573153,0.8688524590163934,0.9464285714285714,0.9059829059829059
SNGS-199,referee,5,3,64,1254,0.94947209653092,0.625,0.07246376811594203,0.12987012987012989
SNGS-197,player,1162,78,6,64,0.9358778625954198,0.9370967741935484,0.9948630136986302,0.9651162790697674
SNGS-197,goalkeeper,31,3,6,1270,0.9931297709923664,0.9117647058823529,0.8378378378378378,0.8732394366197184
SNGS-197,referee,24,6,81,1199,0.933587786259542,0.8,0.22857142857142856,0.3555555555555555
SNGS-190,player,935,70,0,97,0.9364791288566243,0.9303482587064676,1.0,0.9639175257731958
SNGS-190,goalkeeper,26,1,24,1051,0.9773139745916516,0.9629629629629629,0.52,0.6753246753246753
SNGS-190,referee,46,24,71,961,0.9137931034482759,0.6571428571428571,0.39316239316239315,0.49197860962566836
SNGS-130,player,944,36,2,102,0.9649446494464945,0.963265306122449,0.9978858350951374,0.9802699896157839
SNGS-130,goalkeeper,19,0,44,1021,0.959409594095941,1.0,0.30158730158730157,0.46341463414634143
SNGS-130,referee,75,4,0,1005,0.996309963099631,0.9493670886075949,1.0,0.974025974025974
SNGS-137,player,745,18,3,72,0.9749403341288783,0.9764089121887287,0.9959893048128342,0.986101919258769
SNGS-137,goalkeeper,19,4,18,797,0.9737470167064439,0.8260869565217391,0.5135135135135135,0.6333333333333333
SNGS-137,referee,52,0,1,785,0.9988066825775657,1.0,0.9811320754716981,0.9904761904761905
SNGS-139,player,879,0,3,101,0.9969481180061037,1.0,0.9965986394557823,0.9982964224872232
SNGS-139,goalkeeper,51,1,1,930,0.9979654120040692,0.9807692307692307,0.9807692307692307,0.9807692307692307
SNGS-139,referee,49,2,0,932,0.9979654120040692,0.9607843137254902,1.0,0.98
